,Manufacturer,Model,Category,Leather interior,Fuel type,Gear box type,Drive wheels,Wheel,Color,Price,Levy,Engine volume,Mileage,Cylinders,Airbags,Age
15,30,23,3,1,3,0,1,0,14,549,1079.0,2.0,74146,4.0,12,5
36,30,24,3,0,3,2,1,0,11,51746,1077.0,2.0,10200,4.0,12,4
56,19,80,3,1,3,2,0,0,7,87112,0.0,2.0,5323,4.0,0,4
59,4,53,7,0,3,0,1,0,11,23521,781.0,1.4,22000,4.0,6,5
81,30,180,7,1,3,0,1,0,14,7527,830.0,1.5,27656,4.0,12,4
145,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
159,16,113,3,1,3,2,1,0,1,72130,1079.0,2.0,18918,4.0,6,5
162,30,157,7,1,3,0,1,0,7,21012,1823.0,3.5,27358,6.0,12,5
170,18,0,3,1,3,0,0,0,1,470,1077.0,2.0,11566,4.0,12,4
171,0,7,0,1,3,2,2,1,2,1300,0.0,0.5,4000,1.0,0,5
189,30,33,7,1,3,2,1,0,2,56450,0.0,2.5,25000,4.0,12,5
205,24,36,7,1,3,0,0,0,14,3058,1872.0,3.6,28968,6.0,12,5
261,10,163,3,1,0,0,1,0,14,59865,879.0,1.6,13000,4.0,4,4
263,10,90,8,1,0,0,1,0,15,68223,1327.0,2.5,27406,4.0,4,5
278,10,163,3,1,0,0,1,0,14,49858,1077.0,2.0,48000,4.0,4,4
299,30,23,3,0,3,0,1,0,7,28225,1079.0,2.0,24000,4.0,8,5
308,10,61,7,1,2,0,1,0,14,36426,880.0,1.6,35643,4.0,4,5
320,10,149,7,1,3,0,1,0,14,2901,1277.0,2.4,45494,4.0,12,5
349,30,23,3,1,3,0,1,0,2,627,1077.0,2.0,24339,4.0,12,4
370,10,163,3,1,0,0,1,0,1,55823,930.0,1.7,38577,4.0,4,5
416,4,51,7,0,3,0,1,0,3,21169,781.0,1.4,25304,4.0,8,5
424,19,82,7,1,3,2,2,0,1,84675,0.0,2.0,4500,6.0,12,5
437,10,90,5,1,0,0,1,0,1,80911,1325.0,2.5,25541,4.0,4,4
441,4,51,7,1,0,0,1,0,7,7213,880.0,1.6,28515,4.0,12,5
445,10,163,3,1,0,0,1,0,2,61499,1077.0,2.0,1217,4.0,4,4
460,10,61,7,1,3,0,1,0,1,627,1079.0,2.0,47294,4.0,12,5
481,30,105,3,1,3,0,0,0,14,300,0.0,2.7,120,4.0,10,4
498,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
548,30,23,3,1,3,0,1,0,14,17876,1077.0,2.0,19968,4.0,12,4
560,9,41,7,1,3,0,1,0,14,38213,1079.0,2.0,0,4.0,4,5
633,30,30,7,0,1,2,1,0,7,71503,607.0,2.5,3000,4.0,8,4
650,30,30,7,1,3,2,1,0,14,87497,0.0,2.5,25000,4.0,12,4
694,10,61,7,1,3,0,1,0,1,5488,1077.0,2.0,29496,4.0,12,4
720,7,72,7,1,3,0,1,0,1,1333,1079.0,2.0,107664,4.0,12,5
732,30,32,7,1,3,2,1,0,1,53000,1325.0,2.5,500,4.0,12,4
745,30,45,7,1,3,0,1,0,14,2822,978.0,1.8,39254,4.0,12,4
829,22,176,6,1,3,0,0,0,1,30000,0.0,2.5,18794,12.0,12,5
833,9,14,0,1,3,0,1,0,1,2587,830.0,1.5,16666,4.0,12,4
839,30,18,2,1,3,0,1,0,6,57030,831.0,1.5,5000,4.0,4,5
845,30,23,3,1,3,0,1,0,7,2195,1079.0,2.0,22816,4.0,12,5
865,4,51,7,0,3,0,1,0,14,16935,781.0,1.4,15333,4.0,8,5
890,30,30,7,1,1,0,1,0,1,251,607.0,2.5,39552,4.0,12,4
906,10,163,3,1,0,0,1,0,1,58507,930.0,1.7,29709,4.0,4,5
914,30,30,7,1,1,0,1,0,1,251,607.0,2.5,39552,4.0,12,4
922,1,1,7,1,3,0,0,0,14,10192,1079.0,2.0,38282,4.0,12,5
929,9,41,7,1,3,0,1,0,1,56509,1079.0,2.0,17741,4.0,4,5
934,30,30,7,1,1,0,1,0,1,3450,607.0,2.5,9626,4.0,12,4
956,13,152,7,1,3,0,0,0,12,12074,1273.0,2.4,2741,4.0,12,3
979,30,30,7,1,3,0,1,0,14,39829,1323.0,2.5,4130,4.0,12,3
1009,30,126,7,1,1,0,1,0,1,9879,463.0,1.8,0,4.0,12,5
1027,30,105,3,1,0,0,0,0,1,131716,0.0,3.0,59826,4.0,12,5
1043,10,183,3,0,3,2,1,0,14,45473,0.0,2.0,1300,4.0,8,5
1045,30,23,3,1,3,0,1,0,14,9722,1079.0,2.0,38712,4.0,12,5
1058,30,30,7,1,3,2,1,0,1,45473,1325.0,2.5,17300,4.0,12,4
1078,12,89,7,1,3,0,1,0,7,392,1872.0,3.6,30606,6.0,12,5
1087,10,61,7,1,3,0,1,0,7,11133,1079.0,2.0,40122,4.0,12,5
1115,4,51,7,1,3,0,1,0,1,627,780.0,1.4,16042,4.0,12,4
1157,12,40,7,1,3,0,1,0,7,627,1275.0,2.4,61998,4.0,12,4
1172,30,130,3,1,3,0,1,0,7,392,1327.0,2.5,20267,4.0,12,5
1183,10,61,7,1,3,0,1,0,14,37066,880.0,1.6,20388,4.0,4,5
1218,10,149,7,1,3,0,1,0,14,73620,1079.0,2.0,51106,4.0,4,5
1222,13,38,8,0,3,0,1,0,14,51746,0.0,1.6,4000,4.0,5,4
1225,19,79,3,1,3,2,0,0,1,627220,0.0,6.3,0,8.0,12,3
1231,21,120,3,1,1,0,0,0,1,21953,505.0,2.0,59674,4.0,12,5
1232,10,61,7,1,3,0,1,0,12,29793,1077.0,2.0,33693,4.0,12,4
1244,30,23,3,1,3,0,1,0,11,5488,1077.0,2.0,78424,4.0,12,4
1248,30,23,3,1,3,0,1,0,2,188,1077.0,2.0,10003,4.0,12,4
1251,10,61,7,1,3,0,1,0,7,34406,880.0,1.6,36470,4.0,4,5
1278,30,30,7,1,3,0,1,0,1,51746,1327.0,2.5,17000,6.0,12,5
1299,10,149,7,1,3,0,1,0,1,67404,1079.0,2.0,40808,4.0,4,5
1314,8,182,7,1,3,0,1,0,14,35752,3156.0,6.2,11325,8.0,12,4
1316,9,41,2,1,3,0,1,0,1,74796,830.0,1.5,12000,4.0,4,4
1317,4,53,7,0,3,0,1,0,12,16151,781.0,1.4,33548,4.0,8,5
1338,30,23,3,1,3,0,1,0,2,627,1077.0,2.0,24339,4.0,12,4
1401,10,143,3,1,3,0,1,0,14,131308,1968.0,3.8,21281,4.0,4,4
1474,10,61,7,1,3,0,1,0,7,282,1079.0,2.0,17254,4.0,12,5
1475,10,61,7,1,3,0,1,0,1,2979,1079.0,2.0,63195,4.0,12,5
1483,9,41,7,1,3,0,1,0,7,34635,1077.0,2.0,2927,4.0,4,4
1573,13,152,3,1,3,2,0,0,7,87497,0.0,2.4,0,4.0,6,4
1582,10,149,7,1,3,0,1,0,7,64463,880.0,1.6,5187,4.0,4,5
1602,10,143,7,1,3,0,1,0,2,11133,1277.0,2.4,56150,4.0,12,5
1609,21,124,3,1,3,2,0,0,14,112900,0.0,3.0,6000,6.0,10,4
1624,9,41,0,1,3,0,1,0,1,34889,831.0,1.5,16125,4.0,4,5
1626,10,143,3,1,3,0,1,0,7,96915,1076.0,2.0,21,4.0,4,3
1702,26,15,3,1,3,0,1,0,14,41281,880.0,1.6,52349,4.0,4,5
1726,10,143,3,1,0,0,1,0,14,53031,1079.0,2.0,102934,4.0,4,5
1734,5,21,7,1,3,0,1,0,7,12074,1869.0,3.6,32453,6.0,12,4
1740,10,143,3,1,0,0,1,0,14,96071,1178.0,2.2,5964,4.0,4,5
1763,19,83,3,1,3,0,2,0,14,29793,1823.0,3.5,9765,6.0,12,5
1792,30,23,3,1,3,0,1,0,11,6272,1079.0,2.0,18754,4.0,12,5
1849,16,57,7,1,1,0,1,0,1,549,607.0,2.5,13362,4.0,12,4
1876,7,72,7,1,3,0,1,0,1,1333,1079.0,2.0,107664,4.0,12,5
1909,30,32,7,1,3,0,1,0,1,38260,1327.0,2.5,41068,4.0,10,5
1918,18,0,3,1,3,0,0,0,7,37633,1327.0,2.5,42246,4.0,0,5
1939,30,23,3,1,3,0,1,0,7,784,1079.0,2.0,25850,4.0,12,5
1956,10,149,7,1,3,0,1,0,14,69502,1079.0,2.0,75938,4.0,4,5
1996,4,93,7,1,3,0,1,0,12,3450,1869.0,3.6,18438,6.0,12,4
2010,29,111,7,1,3,0,0,0,12,53941,87.0,0.0,81907,6.0,12,5
2029,10,61,7,1,3,0,1,0,7,32929,880.0,1.6,54865,4.0,4,5
2035,30,30,7,1,3,0,1,0,1,5802,1327.0,2.5,54786,4.0,0,5
2067,4,51,7,1,3,0,1,0,7,2979,780.0,1.4,78771,4.0,12,4
2107,10,61,7,1,3,0,1,0,14,30931,880.0,1.6,35798,4.0,4,5
2108,10,61,7,1,3,0,1,0,7,36401,880.0,1.6,71551,4.0,4,5
2130,3,16,7,1,3,0,0,0,12,19130,1869.0,3.6,41198,6.0,12,4
2133,13,152,7,1,3,0,1,0,1,8311,1273.0,2.4,17466,4.0,12,3
2208,9,69,2,0,3,0,1,0,15,27284,830.0,1.5,1500,4.0,6,4
2266,30,23,3,1,3,0,1,0,7,2195,1079.0,2.0,22816,4.0,12,5
2299,10,61,7,1,2,0,1,0,12,36137,880.0,1.6,47181,4.0,4,5
2351,30,30,7,1,3,0,1,0,14,220,1327.0,2.5,60915,4.0,12,5
2353,19,174,6,1,0,0,0,0,12,116036,1325.0,2.5,102,4.0,12,4
2361,30,30,7,1,1,0,1,0,1,3450,607.0,2.5,9626,4.0,12,4
2367,4,172,7,1,1,0,1,0,1,18817,400.0,1.5,70720,4.0,12,5
2368,30,23,3,1,3,0,1,0,12,21012,1077.0,2.0,19834,4.0,12,4
2369,10,143,7,1,3,0,1,0,1,11290,1277.0,2.4,10990,4.0,12,5
2372,10,90,4,1,0,0,1,0,14,83107,1325.0,2.5,21442,4.0,4,4
2394,30,30,7,1,1,0,1,0,1,9722,609.0,2.5,127515,4.0,12,5
2448,30,30,7,1,1,0,1,0,1,251,607.0,2.5,39552,4.0,12,4
2454,18,29,7,1,3,0,1,0,7,35438,1325.0,2.5,11746,4.0,12,4
2462,30,23,3,0,3,2,1,0,13,43905,0.0,2.0,23400,4.0,12,5
2491,7,76,3,1,1,0,1,0,7,5802,505.0,2.0,53013,4.0,12,5
2500,30,23,3,1,3,0,1,0,11,6272,1079.0,2.0,18754,4.0,12,5
2520,9,75,5,1,3,0,1,1,7,21000,2265.0,1.5,6800,4.0,2,4
2645,30,157,7,1,3,0,2,0,12,31047,1820.0,3.5,17542,6.0,12,4
2695,30,30,7,1,1,0,1,0,1,9722,609.0,2.5,127515,4.0,12,5
2696,10,61,7,1,3,0,1,0,14,27924,880.0,1.6,53000,4.0,4,5
2713,4,2,7,1,3,0,1,0,1,4077,780.0,1.4,1232,4.0,12,4
2768,30,103,3,1,0,0,0,0,14,172486,0.0,4.7,13000,12.0,16,5
2776,30,30,3,1,1,0,1,0,1,251,607.0,2.5,56834,4.0,12,4
2791,10,143,7,1,3,0,1,0,7,8781,1275.0,2.4,46264,4.0,12,4
2800,10,61,7,1,3,0,1,0,14,37066,880.0,1.6,20388,4.0,4,5
2820,10,13,7,1,1,0,1,0,1,314,420.0,1.6,14587,4.0,12,4
2827,4,51,7,1,3,0,1,0,1,941,781.0,1.4,39466,4.0,12,5
2834,30,32,7,1,3,0,1,0,1,42808,1327.0,2.5,24382,4.0,8,5
2863,10,61,7,1,3,0,1,0,2,1568,1079.0,2.0,61795,4.0,12,5
2875,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
2876,30,23,3,1,3,0,1,0,7,2587,1079.0,2.0,16213,4.0,12,5
2877,30,23,3,1,3,0,1,0,2,627,1077.0,2.0,24339,4.0,12,4
2950,4,51,7,1,3,0,1,0,7,4704,781.0,1.4,41822,4.0,12,5
2996,10,163,3,1,3,0,1,0,14,57842,879.0,1.6,32724,4.0,4,4
3046,30,30,7,1,3,0,1,0,3,470,1327.0,2.5,44845,4.0,12,5
3062,4,108,0,1,3,0,1,0,1,5018,830.0,1.5,8710,4.0,12,4
3067,10,61,7,1,0,0,1,0,14,30038,880.0,1.6,60000,4.0,4,5
3068,30,30,7,1,3,0,1,0,12,16308,1327.0,2.5,45371,4.0,12,5
3096,4,51,7,1,3,0,1,0,7,549,780.0,1.4,14074,4.0,12,4
3147,30,23,0,1,3,0,1,0,14,6586,1077.0,2.0,5219,4.0,12,4
3149,30,130,3,0,3,2,0,0,7,58018,0.0,2.5,1358,4.0,12,5
3159,30,30,7,1,1,0,1,0,1,61154,609.0,2.5,32000,4.0,12,5
3216,9,41,8,1,3,0,1,0,1,124989,1077.0,2.0,5492,4.0,4,4
3249,30,30,7,1,1,0,1,0,1,251,607.0,2.5,39552,4.0,12,4
3283,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
3314,16,58,7,1,3,0,1,0,14,10349,1820.0,3.5,13147,6.0,12,4
3319,10,149,7,1,3,0,1,0,7,55932,1079.0,2.0,50310,4.0,4,5
3352,30,30,7,1,1,0,1,0,1,9722,609.0,2.5,127515,4.0,12,5
3409,10,61,7,1,3,0,1,0,2,33076,880.0,1.6,41523,4.0,4,5
3446,10,163,3,1,0,0,1,0,7,54346,1079.0,2.0,46503,4.0,4,5
3450,13,142,7,1,3,0,1,0,14,549,1079.0,2.0,91283,4.0,12,5
3465,9,75,5,0,1,0,1,1,2,16000,2266.0,1.5,0,4.0,2,5
3501,30,30,7,1,1,0,1,0,1,251,607.0,2.5,39552,4.0,12,4
3530,30,30,7,1,3,0,1,0,1,65858,1325.0,2.5,7000,4.0,10,4
3556,30,105,3,0,0,0,0,0,14,250,0.0,3.0,33000,6.0,12,4
3560,4,172,7,1,1,0,1,0,12,941,400.0,1.5,43128,4.0,12,5
3602,26,15,3,1,0,0,1,0,2,43868,880.0,1.6,200401,4.0,4,5
3628,10,163,3,1,0,0,1,0,7,59006,1077.0,2.0,14000,4.0,4,4
3638,30,181,7,1,3,0,1,0,7,21012,831.0,1.5,20549,4.0,10,5
3641,10,143,3,1,0,0,1,0,14,96749,1076.0,2.0,9146,4.0,4,3
3674,22,145,7,1,3,0,1,0,1,1490,980.0,1.8,11469,4.0,12,5
3690,12,89,7,1,3,0,2,0,14,23834,1869.0,3.6,14096,6.0,12,4
3739,18,10,3,1,3,0,1,0,14,3136,1327.0,2.5,67066,4.0,12,5
3759,30,30,7,1,1,0,1,0,1,3450,607.0,2.5,9626,4.0,12,4
3804,30,130,3,0,3,2,0,0,14,160,1079.0,2.0,25000,4.0,12,5
3813,9,41,7,1,3,0,1,0,7,54850,831.0,1.5,13048,4.0,4,5
3818,10,143,3,1,0,0,1,0,7,67981,1077.0,2.0,10120,4.0,4,4
3826,10,61,7,1,2,0,1,0,12,36137,880.0,1.6,47181,4.0,4,5
3857,10,149,7,1,3,0,1,0,2,10976,1275.0,2.4,29419,4.0,12,4
3884,27,74,3,0,3,0,0,0,2,30107,1327.0,2.5,80000,4.0,12,5
3887,30,30,3,1,3,0,1,0,12,549,1327.0,2.5,23333,4.0,12,5
3900,30,23,3,0,3,0,1,0,7,36065,1079.0,2.0,37214,4.0,10,5
3904,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
3923,10,143,3,1,0,0,1,0,2,64002,1079.0,2.0,41778,4.0,4,5
3940,10,163,3,1,0,0,1,0,1,56513,930.0,1.7,41500,4.0,4,5
3950,30,30,7,1,3,0,1,0,1,53314,1327.0,2.5,6800,6.0,8,5
3983,30,23,3,1,3,0,1,0,7,2587,1079.0,2.0,16213,4.0,12,5
3997,10,143,3,1,0,0,1,0,14,97401,1077.0,2.0,14489,4.0,4,4
4044,19,87,3,1,3,2,0,0,1,156805,0.0,3.0,31000,6.0,0,5
4049,30,157,7,1,3,0,0,0,1,31675,1817.0,3.5,1669,6.0,12,3
4067,30,30,7,1,1,0,1,0,1,3450,607.0,2.5,9626,4.0,12,4
4077,10,143,3,1,0,0,1,0,7,90919,1076.0,2.0,6631,4.0,4,3
4095,4,52,7,0,3,0,1,0,1,16621,781.0,1.4,12532,4.0,8,5
4119,30,105,3,0,0,0,0,0,7,250,0.0,3.0,36000,6.0,12,4
4125,30,30,7,0,3,2,1,0,3,23521,1325.0,2.5,22400,6.0,10,4
4128,3,27,7,1,3,0,0,0,1,4391,1077.0,2.0,21659,4.0,12,4
4133,10,143,3,1,0,0,1,0,2,56513,1079.0,2.0,61640,4.0,4,5
4180,9,69,2,0,3,0,1,1,1,12500,1974.0,1.3,6000,4.0,2,4
4208,10,90,8,1,2,0,1,0,15,66197,1327.0,2.5,20930,4.0,4,5
4213,10,163,3,1,3,0,1,0,2,61521,880.0,1.6,14661,4.0,4,5
4266,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
4272,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
4314,4,64,3,0,3,0,0,0,1,22580,830.0,1.5,5124,4.0,10,4
4316,22,17,7,1,3,0,1,0,7,21326,1325.0,2.5,30296,4.0,12,4
4323,30,30,7,1,3,2,1,0,1,32929,1327.0,2.5,19000,4.0,11,5
4344,9,69,2,0,3,0,0,1,1,20000,1974.0,1.3,3800,4.0,4,4
4354,30,30,7,1,3,0,1,0,1,549,1325.0,2.5,35541,4.0,12,4
4360,30,30,7,1,1,0,1,0,1,251,607.0,2.5,39552,4.0,12,4
4372,30,147,5,0,3,0,1,1,14,15000,1539.0,1.0,0,3.0,4,5
4379,30,30,7,1,3,0,1,0,3,470,1327.0,2.5,44845,4.0,12,5
4413,4,51,2,1,3,2,1,0,14,28100,781.0,1.4,21000,4.0,10,5
4424,30,23,3,1,3,0,1,0,11,13172,1077.0,2.0,24302,4.0,12,4
4442,0,128,3,1,3,0,0,0,12,37947,1575.0,3.0,49122,6.0,12,5
4459,10,149,7,1,3,0,1,0,2,4077,1277.0,2.4,67165,4.0,12,5
4468,30,18,8,1,1,0,1,0,2,41867,400.0,1.5,35039,4.0,4,5
4500,30,30,7,1,1,0,1,0,1,251,607.0,2.5,39552,4.0,12,4
4501,30,30,7,1,1,0,1,0,1,9722,609.0,2.5,127515,4.0,12,5
4502,30,18,2,1,3,0,1,0,2,42538,831.0,1.5,2000,4.0,4,5
4515,30,23,3,1,3,0,1,0,7,549,1077.0,2.0,39221,4.0,12,4
4520,10,143,3,1,0,0,1,0,7,73714,1077.0,2.0,43598,4.0,4,4
4522,10,143,7,1,3,0,0,0,14,11290,1277.0,2.4,44240,4.0,12,5
4581,30,105,3,0,0,0,0,0,7,250,0.0,3.0,32000,6.0,12,4
4589,30,157,7,1,3,0,0,0,1,26971,1820.0,3.5,18555,6.0,12,4
4590,10,143,3,1,0,0,1,0,14,88438,1076.0,2.0,120,4.0,4,3
4602,10,95,2,1,1,0,1,0,7,3763,420.0,1.6,29450,4.0,12,4
4663,10,61,7,1,3,0,1,0,14,33575,880.0,1.6,53871,4.0,4,5
4680,30,39,3,1,3,0,1,0,12,470,1077.0,2.0,10610,4.0,12,4
4688,10,149,7,1,3,0,1,0,14,73034,1079.0,2.0,41895,4.0,4,5
4734,4,118,3,1,2,0,1,0,12,47408,1079.0,2.0,33000,4.0,4,5
4834,30,23,3,1,3,0,1,0,11,1568,1077.0,2.0,10526,4.0,12,4
4900,4,108,7,1,3,0,1,0,7,63826,1077.0,2.0,9101,4.0,4,4
4902,10,143,7,1,3,0,0,0,1,549,1277.0,2.4,46853,4.0,12,5
4919,19,26,7,1,3,0,2,0,1,121524,3057.0,6.0,0,12.0,12,4
5087,30,30,7,1,1,0,1,0,1,251,607.0,2.5,39552,4.0,12,4
5108,9,69,2,1,1,0,1,0,1,26720,399.0,1.5,2336,4.0,4,4
5150,30,23,3,1,3,0,1,0,12,470,1077.0,2.0,65362,4.0,12,4
5159,10,61,7,1,3,0,1,0,7,32929,880.0,1.6,54865,4.0,4,5
5161,30,23,3,1,3,0,1,0,7,19444,1079.0,2.0,40272,4.0,12,5
5171,10,143,3,1,0,0,1,0,1,75793,1077.0,2.0,21680,4.0,4,4
5224,30,30,7,1,1,0,1,0,1,9722,609.0,2.5,127515,4.0,12,5
5252,4,93,7,1,3,0,1,0,12,3293,1872.0,3.6,71194,6.0,12,5
5263,4,93,7,1,3,0,1,0,12,3450,1869.0,3.6,18438,6.0,12,4
5291,10,143,3,1,0,0,1,0,14,81445,1174.0,2.2,25468,4.0,4,3
5319,10,61,7,1,3,0,1,0,7,32929,880.0,1.6,54865,4.0,4,5
5322,7,66,3,1,3,0,1,0,14,118519,1228.0,2.3,14263,4.0,4,5
5338,30,23,3,1,3,0,1,0,7,2195,1079.0,2.0,22816,4.0,12,5
5349,10,143,3,1,0,0,1,0,1,53188,1079.0,2.0,47692,4.0,4,5
5376,30,18,8,1,1,0,1,0,7,45825,400.0,1.5,9942,4.0,4,5
5505,30,23,3,1,3,0,1,0,14,10349,1079.0,2.0,38712,4.0,12,5
5547,13,131,3,1,3,0,1,0,1,1646,880.0,1.6,65451,4.0,12,5
5564,9,14,7,1,3,0,1,0,1,11290,831.0,1.5,60062,4.0,12,5
5571,10,61,7,1,3,0,1,0,11,31581,880.0,1.6,52000,4.0,4,5
5584,30,126,2,1,1,0,1,0,14,40769,463.0,1.8,2102,4.0,12,5
5589,22,99,3,0,3,2,1,0,7,24775,880.0,1.6,8000,4.0,0,5
5599,30,30,7,1,3,2,1,0,1,50178,0.0,2.5,60000,6.0,10,5
5614,27,119,7,1,3,0,0,0,12,1882,1327.0,2.5,0,4.0,12,5
5623,28,171,3,0,3,2,1,0,5,46414,0.0,1.0,4800,3.0,10,4
5625,10,90,8,1,0,0,1,0,15,65040,1327.0,2.5,26501,4.0,4,5
5634,8,156,7,1,3,0,1,0,1,14269,1077.0,2.0,35898,4.0,12,4
5641,30,130,3,0,3,2,0,0,14,48610,1327.0,2.5,40000,4.0,12,5
5645,30,6,3,1,3,0,0,0,12,470,2070.0,4.0,58971,6.0,12,5
5685,10,163,3,1,0,0,1,0,2,47205,930.0,1.7,46764,4.0,4,5
5703,4,51,7,0,3,0,1,0,12,14740,781.0,1.4,0,4.0,0,5
5735,10,61,7,1,3,0,1,0,7,15210,1076.0,2.0,25038,4.0,12,3
5748,30,30,7,1,1,0,1,0,1,9722,609.0,2.5,127515,4.0,12,5
5793,10,163,7,1,3,0,0,0,2,17876,1077.0,2.0,31200,4.0,12,4
5826,30,30,7,1,1,0,1,0,1,3450,607.0,2.5,9626,4.0,12,4
5851,30,157,7,1,3,0,2,0,12,31047,1820.0,3.5,17542,6.0,12,4
5852,22,167,7,1,3,0,1,0,7,2587,880.0,1.6,0,4.0,12,5
5896,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
5910,9,41,7,1,3,0,1,0,1,56509,1079.0,2.0,26134,4.0,4,5
5920,10,149,7,1,3,0,1,0,1,66815,1079.0,2.0,40808,4.0,4,5
5921,10,149,7,1,3,0,1,0,14,64463,1079.0,2.0,25255,4.0,4,5
5955,30,23,3,0,3,2,1,0,7,46728,1079.0,2.0,46000,4.0,12,5
6035,30,30,7,1,1,0,1,0,1,3450,607.0,2.5,9626,4.0,12,4
6047,9,69,2,1,3,0,1,0,12,22291,732.0,1.3,5987,4.0,4,5
6080,30,23,3,1,3,0,1,0,14,10349,1079.0,2.0,38712,4.0,12,5
6081,18,28,3,0,3,2,0,0,1,51746,1327.0,2.5,20000,4.0,12,5
6086,30,91,7,1,3,0,0,0,3,470,1820.0,3.5,10670,6.0,12,4
6096,19,175,6,1,0,0,0,0,2,109764,0.0,2.5,43000,8.0,0,5
6105,16,132,3,1,3,0,1,0,1,3293,1823.0,3.5,8618,6.0,12,5
6124,21,120,3,1,1,0,0,0,1,1725,505.0,2.0,79283,4.0,12,5
6140,21,120,7,1,3,0,0,0,1,1333,1275.0,2.4,4677,4.0,12,4
6142,4,2,0,1,3,0,0,0,12,2509,781.0,1.4,29763,4.0,12,5
6164,24,184,7,1,3,0,0,0,2,46414,1079.0,2.0,28840,4.0,12,5
6182,13,114,3,0,1,0,1,0,1,38888,421.0,1.6,62347,4.0,10,5
6202,30,30,7,1,3,2,1,0,1,64290,1327.0,2.5,12000,4.0,12,5
