,Manufacturer,Model,Category,Leather interior,Fuel type,Gear box type,Drive wheels,Wheel,Color,Price,Levy,Engine volume,Mileage,Cylinders,Airbags,Age
6231,30,30,7,1,3,0,1,0,2,4234,1327.0,2.5,105235,4.0,12,5
6299,16,132,7,1,3,0,0,0,14,55195,1823.0,3.5,15744,6.0,12,5
6302,10,143,3,1,0,0,1,0,7,80074,1077.0,2.0,56000,4.0,4,4
6307,30,130,7,1,3,0,0,0,11,392,1327.0,2.5,53611,4.0,11,5
6316,27,74,7,1,3,0,0,0,1,10663,1327.0,2.5,32435,4.0,12,5
6324,27,119,2,1,3,0,0,0,12,282,1327.0,2.5,41794,4.0,12,5
6329,10,149,7,1,3,0,1,0,7,62697,880.0,1.6,32000,4.0,4,5
6341,30,23,3,1,3,0,1,0,14,10349,1079.0,2.0,38712,4.0,12,5
6344,30,30,7,1,3,0,1,0,7,6429,1325.0,2.5,4565,4.0,12,4
6368,7,76,7,1,1,0,1,0,2,10192,505.0,2.0,28813,4.0,12,5
6379,10,149,7,1,3,0,1,0,1,65052,1079.0,2.0,27448,4.0,4,5
6421,30,45,7,1,1,0,1,0,2,6899,460.0,1.8,7467,4.0,12,3
6432,4,154,7,1,3,0,1,0,1,28225,2711.0,5.3,19901,8.0,12,4
6436,0,12,7,1,3,0,0,0,1,21950,1079.0,2.0,18283,4.0,10,5
6451,9,41,2,1,3,0,1,0,1,78829,831.0,1.5,2000,4.0,4,5
6571,30,130,3,0,3,0,0,0,14,47042,1325.0,2.5,2565,4.0,8,4
6586,28,155,2,0,3,3,1,0,11,45009,681.0,1.2,0,4.0,0,4
6600,8,156,7,1,3,0,1,0,2,9879,831.0,1.5,51050,4.0,12,5
6668,27,74,7,1,3,0,0,0,1,10663,1327.0,2.5,32435,4.0,12,5
6670,32,3,7,1,3,0,1,0,7,12544,1872.0,3.6,66086,6.0,12,5
6696,9,49,7,1,3,0,0,0,2,20698,831.0,1.5,56261,4.0,12,5
6720,30,30,7,0,3,2,1,0,12,53000,1327.0,2.5,7000,4.0,12,5
6761,30,30,7,1,3,2,2,0,7,40769,1327.0,2.5,31000,6.0,12,5
6780,30,157,7,1,3,0,0,0,1,26971,1820.0,3.5,18555,6.0,12,4
6788,30,30,7,1,3,0,1,0,1,46101,1325.0,2.5,25816,4.0,12,4
6824,30,30,7,1,1,0,1,0,1,3450,607.0,2.5,9626,4.0,12,4
6829,9,69,2,1,3,0,1,0,12,21683,732.0,1.3,10970,4.0,4,5
6845,30,23,3,0,3,2,1,1,4,24000,1829.0,1.2,84000,4.0,8,4
6851,10,149,7,1,3,0,1,0,7,69502,1079.0,2.0,28750,4.0,4,5
6899,9,41,7,1,3,0,1,0,7,59827,1077.0,2.0,8115,4.0,4,4
6984,30,23,3,1,3,0,1,0,11,5488,1077.0,2.0,78424,4.0,12,4
7091,22,100,3,1,3,0,1,0,11,29950,880.0,1.6,9410,4.0,9,5
7101,30,6,3,1,3,0,1,0,10,10349,1079.0,2.0,78579,4.0,12,5
7105,21,122,3,0,3,2,0,0,7,33870,1079.0,2.0,4320,4.0,10,5
7143,10,90,8,1,0,0,1,0,15,68223,1327.0,2.5,27406,4.0,4,5
7187,10,143,3,1,0,0,1,0,7,71647,1077.0,2.0,47778,4.0,4,4
7210,32,96,7,1,3,0,1,0,7,39201,780.0,1.4,5000,4.0,16,4
7276,19,78,3,1,2,1,0,0,10,3,0.0,1.8,1212,12.0,0,3
7283,19,86,3,1,3,2,0,0,1,228935,0.0,5.5,23000,8.0,16,5
7290,4,51,7,1,3,0,1,0,3,470,780.0,1.4,17507,4.0,12,4
7301,12,43,7,1,3,0,1,0,6,8154,1277.0,2.4,12520,4.0,12,5
7365,27,50,7,1,3,0,0,0,2,7213,1077.0,2.0,6384,4.0,12,4
7367,30,23,3,1,3,0,1,0,2,17876,1077.0,2.0,29541,4.0,12,4
7380,30,23,3,1,3,0,1,0,2,549,1077.0,2.0,24339,4.0,12,4
7390,30,157,7,1,3,0,0,0,1,31675,1817.0,3.5,1669,6.0,12,3
7397,24,37,3,1,3,0,2,0,14,25716,1079.0,2.0,1166,4.0,12,5
7419,10,143,7,1,3,0,0,0,2,13799,1275.0,2.4,22832,4.0,12,4
7428,19,11,7,1,3,0,2,0,2,32615,1077.0,2.0,15235,4.0,12,4
7431,30,23,3,1,3,0,1,0,1,15681,1077.0,2.0,18950,4.0,12,4
7441,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
7461,9,49,7,0,3,3,0,0,12,87497,1275.0,2.4,0,4.0,6,4
7469,22,99,3,0,3,0,1,0,7,25089,880.0,1.6,4363,4.0,0,5
7484,18,0,3,1,3,0,0,0,1,470,1077.0,2.0,11566,4.0,12,4
7507,30,105,3,0,0,0,0,0,14,250,0.0,3.0,0,6.0,12,4
7529,9,41,7,1,3,0,1,0,7,7840,828.0,1.5,4494,4.0,12,3
7590,10,143,3,1,0,0,1,0,7,89482,1176.0,2.2,69852,4.0,4,4
7614,30,18,2,0,1,0,1,1,14,15500,2266.0,1.5,7000,4.0,6,5
7636,10,149,7,1,3,0,1,0,1,67699,880.0,1.6,35950,4.0,4,5
7641,9,41,0,1,3,0,1,0,14,65817,831.0,1.5,12812,4.0,4,5
7656,30,23,3,1,3,0,1,0,7,784,1079.0,2.0,25850,4.0,12,5
7684,32,97,7,0,3,0,1,0,14,26814,781.0,1.4,6380,4.0,8,5
7702,10,143,3,1,0,0,1,0,7,71983,1077.0,2.0,10120,4.0,4,4
7749,1,107,7,1,3,2,0,0,1,288521,2269.0,4.4,13500,8.0,0,5
7781,30,23,3,1,3,0,1,0,7,784,1079.0,2.0,25850,4.0,12,5
7816,26,15,3,1,0,0,1,0,2,42171,880.0,1.6,74221,4.0,4,5
7855,10,61,7,1,3,0,1,0,7,3293,1079.0,2.0,47200,4.0,12,5
7895,25,115,7,0,3,0,1,0,14,37633,0.0,1.6,5500,4.0,6,4
7915,28,171,3,0,3,0,1,0,11,61951,780.0,1.4,0,4.0,0,4
7925,32,125,7,1,3,2,1,0,7,36065,1079.0,2.0,68800,4.0,6,5
7980,30,30,7,1,1,0,1,0,1,251,607.0,2.5,39552,4.0,12,4
7991,18,29,3,1,3,0,1,0,14,627,1325.0,2.5,14186,4.0,12,4
7997,12,173,3,1,3,0,0,0,7,147397,1869.0,3.6,18000,6.0,16,4
8010,30,30,7,1,3,0,1,0,12,13956,1327.0,2.5,56173,4.0,12,5
8035,10,149,7,1,3,0,1,0,14,64171,1079.0,2.0,21122,4.0,4,5
8036,16,88,3,1,3,0,0,0,14,72130,2364.0,4.6,26138,8.0,10,4
8074,10,149,7,1,3,0,1,0,7,57698,1079.0,2.0,36304,4.0,4,5
8088,1,177,3,1,3,0,0,0,14,28852,1079.0,2.0,68126,4.0,12,5
8120,10,143,3,1,0,0,1,0,7,69810,1077.0,2.0,2730,4.0,4,4
8140,30,30,7,1,1,0,1,0,1,3450,607.0,2.5,9626,4.0,12,4
8158,4,162,3,1,3,0,0,0,1,15367,781.0,1.4,1405,4.0,8,5
8172,12,43,3,1,3,0,0,0,1,42337,1277.0,2.4,16500,4.0,12,5
8186,30,30,7,1,3,0,1,0,2,220,1327.0,2.5,47688,4.0,12,5
8235,4,148,3,1,3,0,1,0,11,28539,2715.0,5.3,28890,8.0,12,5
8357,4,51,7,0,3,0,1,0,1,15053,781.0,1.4,37400,4.0,8,5
8372,30,23,3,1,3,0,1,0,14,29793,1077.0,2.0,4330,4.0,12,4
8374,9,69,2,1,3,0,1,0,1,60502,831.0,1.5,8000,4.0,4,5
8406,9,41,0,1,3,0,1,0,11,62493,831.0,1.5,8520,4.0,4,5
8414,19,25,2,1,3,0,1,0,11,470,1079.0,2.0,15806,4.0,12,5
8439,7,76,7,1,1,2,1,0,12,39829,505.0,2.0,39000,4.0,12,5
8451,10,61,7,1,2,0,1,0,14,36426,880.0,1.6,35643,4.0,4,5
8452,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
8459,30,30,7,1,3,0,1,0,14,251,1327.0,2.5,60915,4.0,0,5
8470,30,23,3,1,3,0,1,0,12,549,1079.0,2.0,46733,4.0,12,5
8478,4,51,7,0,3,0,1,0,1,13956,781.0,1.4,0,4.0,0,5
8541,14,165,8,1,3,2,0,0,1,872946,2067.0,4.0,2531,8.0,0,4
8544,17,44,7,1,3,0,1,0,14,470,1426.0,2.7,25790,6.0,12,5
8547,10,163,3,1,0,0,1,0,7,49864,1077.0,2.0,66500,4.0,4,4
8551,30,23,3,1,3,0,1,0,12,21012,1077.0,2.0,19834,4.0,12,4
8560,30,30,7,1,1,2,0,0,2,62722,0.0,2.4,14000,6.0,12,5
8622,30,30,7,1,1,0,1,0,1,9722,609.0,2.5,127515,4.0,12,5
8629,10,143,3,1,0,0,1,0,3,123330,1176.0,2.2,29816,4.0,4,4
8638,11,67,3,1,3,0,0,0,2,392,1079.0,2.0,26726,4.0,12,5
8716,30,6,7,1,3,0,1,0,2,314,1079.0,2.0,33122,4.0,12,5
8750,30,30,7,1,3,0,1,0,2,470,1327.0,2.5,80568,4.0,12,5
8753,10,143,3,1,0,0,1,0,14,55230,1079.0,2.0,49396,4.0,4,5
8782,11,67,3,1,3,0,0,0,7,3293,1079.0,2.0,26701,4.0,12,5
8797,5,133,7,1,3,0,2,0,7,16935,1869.0,3.6,22293,6.0,12,4
8843,9,41,7,1,3,0,1,0,12,73131,831.0,1.5,1036,4.0,4,5
8853,30,91,3,1,3,0,0,0,14,26971,1823.0,3.5,47002,6.0,12,5
8914,10,90,8,1,2,0,1,0,15,66197,1327.0,2.5,20930,4.0,4,5
8922,30,126,7,1,1,0,1,0,14,15210,463.0,1.8,12416,4.0,12,5
8932,32,96,7,1,3,0,1,0,12,17562,1077.0,2.0,6565,4.0,12,4
8945,4,51,7,0,3,2,1,0,14,23521,781.0,1.4,6000,4.0,0,5
9079,9,116,7,1,3,0,1,0,1,19757,1820.0,3.5,13994,6.0,12,4
9095,30,23,3,1,3,0,1,0,14,29793,1077.0,2.0,4330,4.0,12,4
9134,30,30,7,1,3,2,1,0,2,40769,1327.0,2.5,43000,4.0,12,5
9138,11,56,3,0,3,2,0,0,1,101923,0.0,2.0,0,4.0,12,3
9139,30,23,3,1,3,0,1,0,12,24462,1077.0,2.0,10610,4.0,12,4
9160,7,76,7,1,1,0,1,0,7,1568,505.0,2.0,93453,4.0,12,5
9166,10,143,5,1,3,0,1,0,2,95739,1176.0,2.2,9087,4.0,4,4
9177,30,157,7,1,3,0,0,0,1,26971,1820.0,3.5,18555,6.0,12,4
9186,32,159,7,1,3,0,1,0,1,9565,1079.0,2.0,70098,4.0,12,5
9198,32,96,7,1,3,2,1,0,14,45473,780.0,1.4,35000,4.0,12,4
9200,19,87,3,1,3,2,0,0,1,141124,1575.0,3.0,40000,6.0,12,5
9248,24,184,3,1,3,2,0,0,1,172486,0.0,2.0,7400,6.0,15,4
9261,30,157,7,1,3,0,0,0,1,31675,1817.0,3.5,1669,6.0,12,3
9283,30,157,7,1,3,0,2,0,12,31047,1820.0,3.5,17542,6.0,12,4
9293,10,143,3,1,0,0,1,0,2,59837,1079.0,2.0,41778,4.0,4,5
9296,30,30,7,1,1,0,1,0,1,3450,607.0,2.5,9626,4.0,12,4
9370,9,69,8,1,1,0,1,0,1,31211,400.0,1.5,57809,4.0,4,5
9381,10,149,7,1,3,0,1,0,2,49751,1079.0,2.0,77130,4.0,4,5
9384,30,126,7,1,1,0,1,0,12,9408,463.0,1.8,44114,4.0,12,5
9417,2,39,7,1,3,0,0,0,1,941,1325.0,2.5,2642,4.0,12,4
9453,30,30,3,1,1,0,1,0,1,251,607.0,2.5,56834,4.0,12,4
9469,30,30,7,1,1,0,1,0,1,6586,609.0,2.5,272781,4.0,12,5
9494,18,29,3,1,3,0,1,0,14,627,1325.0,2.5,14186,4.0,12,4
9515,10,90,8,1,0,0,1,0,7,46919,1327.0,2.5,71689,4.0,4,5
9535,30,23,3,1,3,0,1,0,14,10349,1079.0,2.0,38712,4.0,12,5
9546,30,30,7,1,1,0,1,0,1,3450,607.0,2.5,9626,4.0,12,4
9550,13,117,7,1,3,0,1,0,2,1333,1277.0,2.4,52710,4.0,12,5
9551,9,41,7,1,3,0,1,0,12,59827,1077.0,2.0,8115,4.0,4,4
9558,21,121,3,0,3,2,0,0,1,31047,1275.0,2.4,2400,4.0,10,4
9637,8,156,7,1,3,0,1,0,2,3450,830.0,1.5,9422,4.0,12,4
9663,30,157,7,1,3,0,0,0,1,31675,1817.0,3.5,1669,6.0,12,3
9692,30,30,7,1,3,0,1,0,1,220,1327.0,2.5,70662,4.0,12,5
9698,30,23,3,1,3,0,1,0,1,282,1077.0,2.0,3237,4.0,12,4
9699,1,177,3,1,3,2,0,0,1,62719,1079.0,2.0,35000,4.0,12,5
9709,30,30,7,1,1,0,1,0,1,251,607.0,2.5,39552,4.0,12,4
9724,31,169,7,0,3,2,1,0,1,15681,0.0,1.6,35000,6.0,12,5
9736,10,61,7,1,3,0,1,0,14,47377,879.0,1.6,8737,4.0,4,4
9776,26,15,3,1,0,0,1,0,2,43868,879.0,1.6,57874,4.0,4,4
9791,18,0,3,1,3,0,0,0,1,470,1077.0,2.0,11566,4.0,12,4
9796,9,41,7,1,3,0,1,0,7,68144,831.0,1.5,42857,4.0,4,5
9825,7,68,7,1,3,0,2,0,14,7840,1426.0,2.7,2792,6.0,12,5
9836,22,145,7,1,3,0,1,0,12,2430,980.0,1.8,67272,4.0,12,5
9881,26,15,3,1,0,0,1,0,7,44752,880.0,1.6,40137,4.0,4,5
9894,30,30,7,1,1,0,1,0,1,9722,609.0,2.5,127515,4.0,12,5
9899,30,30,7,1,1,0,1,0,1,3450,607.0,2.5,9626,4.0,12,4
9912,10,143,3,1,0,0,1,0,7,68148,1077.0,2.0,47778,4.0,4,4
9915,30,130,3,1,3,0,0,0,1,470,1327.0,2.5,17214,4.0,12,5
9916,30,23,0,1,3,0,1,0,14,6586,1077.0,2.0,5219,4.0,12,4
9935,30,45,7,1,3,0,1,0,1,3293,978.0,1.8,54307,4.0,12,4
9950,4,108,7,1,3,0,1,0,14,58507,731.0,1.3,1878,4.0,4,4
9969,7,65,7,1,3,0,1,0,14,13015,830.0,1.5,4309,4.0,12,4
9970,21,120,3,1,3,2,0,0,1,44500,1277.0,2.4,12345,4.0,12,5
10029,30,23,3,1,3,2,0,0,14,57391,0.0,1.2,12000,4.0,12,5
10033,9,69,2,1,3,0,1,0,2,39189,831.0,1.5,6213,4.0,4,5
10064,10,61,7,1,3,0,1,0,7,43143,1079.0,2.0,35168,4.0,4,5
10089,13,152,3,1,3,0,0,0,1,18817,1275.0,2.4,18206,4.0,12,4
10090,10,143,3,1,0,0,1,0,14,51028,1079.0,2.0,102934,4.0,4,5
10098,30,30,7,1,3,0,1,0,3,73698,0.0,2.5,6417,4.0,12,4
10142,30,23,3,1,3,0,1,0,14,6586,1077.0,2.0,19968,4.0,12,4
10153,10,61,7,1,3,0,1,0,11,1254,1079.0,2.0,48171,4.0,12,5
10162,30,30,7,1,3,0,1,0,1,87811,0.0,3.5,18000,6.0,10,5
10181,26,15,3,1,3,0,1,0,2,44003,880.0,1.6,24372,4.0,4,5
10238,1,179,3,1,0,2,0,0,2,103491,0.0,2.5,59364,6.0,12,5
10249,30,30,7,1,1,0,1,0,1,3450,607.0,2.5,9626,4.0,12,4
10253,30,105,3,1,0,0,0,0,14,131716,0.0,3.0,5292,6.0,12,5
10295,10,90,5,1,0,0,1,0,14,83107,1325.0,2.5,21442,4.0,4,4
10304,10,143,3,1,0,0,1,0,14,55515,1079.0,2.0,102934,4.0,4,5
10322,10,143,3,1,0,0,1,0,7,73633,1176.0,2.2,15936,4.0,4,4
10330,30,23,3,1,3,0,1,0,7,549,1077.0,2.0,39221,4.0,12,4
10357,22,17,7,1,3,0,1,0,7,21326,1325.0,2.5,30296,4.0,12,4
10372,10,143,5,1,0,0,1,0,14,98066,1176.0,2.2,17632,4.0,4,4
10381,26,15,3,1,3,0,1,0,2,40634,880.0,1.6,30084,4.0,4,5
10382,10,143,3,1,0,0,1,0,12,79616,1076.0,2.0,4654,4.0,4,3
10387,7,77,7,1,3,0,1,0,14,24462,831.0,1.5,7368,4.0,8,5
10396,9,41,7,1,3,0,1,0,2,60831,831.0,1.5,17992,4.0,4,5
10408,1,178,7,1,3,0,2,0,14,1019,1077.0,2.0,33870,4.0,12,4
10411,30,126,7,0,1,0,1,0,7,21012,463.0,1.8,206794,4.0,10,5
10423,15,134,3,1,3,2,0,0,14,150533,1575.0,3.0,22000,6.0,12,5
10470,10,163,3,1,3,0,1,0,7,56371,880.0,1.6,32130,4.0,4,5
10479,13,150,7,1,3,0,1,0,7,22894,1723.0,3.3,49646,6.0,12,5
10483,30,23,3,1,3,0,1,0,12,470,1077.0,2.0,19834,4.0,12,4
10500,10,61,7,1,3,0,1,0,7,3136,1079.0,2.0,30333,4.0,12,5
10546,10,163,3,1,0,0,1,0,1,64823,1079.0,2.0,29545,4.0,4,5
10559,21,120,3,1,3,0,0,0,1,78403,0.0,2.4,0,4.0,12,3
10577,7,66,3,1,3,0,1,0,14,108371,1228.0,2.3,25947,4.0,4,5
10585,7,65,3,0,3,2,1,0,7,26657,830.0,1.5,74000,8.0,9,4
10648,10,149,7,1,3,0,1,0,7,52959,1079.0,2.0,48605,4.0,4,5
10687,21,110,7,1,3,0,1,0,7,1411,682.0,1.2,7430,3.0,12,5
10699,27,50,7,1,3,0,0,0,2,549,1077.0,2.0,7971,4.0,12,4
10708,10,13,7,1,3,0,1,0,7,10036,879.0,1.6,4621,4.0,12,4
10726,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
10732,10,149,7,1,2,0,1,0,14,66485,1076.0,2.0,13460,4.0,4,3
10759,16,102,3,1,3,2,0,0,1,260296,0.0,5.7,17700,8.0,10,5
10775,10,149,7,1,3,0,1,0,14,69502,1079.0,2.0,24000,4.0,4,5
10839,30,18,2,1,3,0,1,0,12,28532,830.0,1.5,25000,4.0,4,4
10885,4,51,7,0,3,2,1,0,7,3,0.0,1.4,61000,4.0,8,5
10889,9,69,2,1,3,0,1,0,12,22900,732.0,1.3,2635,4.0,4,5
10892,30,30,7,1,3,0,1,0,1,14583,1327.0,2.5,29682,4.0,12,5
10934,19,82,3,1,3,2,2,0,1,65545,1079.0,2.0,12000,12.0,12,5
10935,30,30,7,1,3,0,1,0,2,470,1327.0,2.5,31290,4.0,12,5
10939,10,143,3,1,0,0,1,0,7,73310,1077.0,2.0,2730,4.0,4,4
11105,10,163,7,1,3,0,0,0,2,22580,1077.0,2.0,31200,4.0,12,4
11106,30,45,7,1,3,0,1,0,1,6429,980.0,1.8,78608,4.0,12,5
11109,10,143,3,1,0,0,1,0,7,97235,1076.0,2.0,43865,4.0,4,3
11155,30,31,7,0,1,2,1,0,1,72130,609.0,2.5,27000,4.0,12,5
11157,4,51,7,1,3,0,1,0,1,941,781.0,1.4,39466,4.0,12,5
11208,30,30,7,1,1,0,1,0,1,251,607.0,2.5,39552,4.0,12,4
11230,30,105,3,0,0,0,0,0,7,250,0.0,3.0,37000,6.0,12,4
11240,30,45,8,0,1,2,1,1,14,15000,2265.0,1.5,22000,4.0,0,4
11247,11,55,3,1,3,2,0,0,14,125444,0.0,2.0,22720,6.0,12,5
11264,10,61,7,1,3,0,1,0,1,5018,1079.0,2.0,61398,4.0,12,5
11284,26,15,3,1,3,0,1,0,11,44752,880.0,1.6,11953,4.0,4,5
11317,9,41,7,1,3,0,1,0,2,65817,830.0,1.5,14542,4.0,4,4
11338,10,163,3,1,0,0,1,0,12,48867,930.0,1.7,52782,4.0,4,5
11385,30,19,7,1,1,3,1,0,7,62095,714.0,3.0,80000,8.0,10,5
11390,30,180,7,1,3,0,1,0,14,1960,830.0,1.5,0,4.0,12,4
11398,10,166,2,0,3,2,1,0,14,31047,1077.0,2.0,12000,4.0,12,4
11415,27,119,3,1,3,0,0,0,14,3450,1325.0,2.5,15480,4.0,12,4
11469,4,151,2,1,3,0,1,0,14,13322,583.0,1.0,62499,4.0,4,5
11478,30,30,7,1,3,0,1,0,2,392,1325.0,2.5,12336,4.0,12,4
11503,9,14,7,1,3,0,1,0,2,6429,830.0,1.5,4088,4.0,12,4
11546,30,30,7,1,1,0,1,0,1,3450,607.0,2.5,9626,4.0,12,4
11554,19,26,0,1,3,0,0,0,1,87027,1572.0,3.0,0,6.0,12,4
11561,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
11627,30,23,3,1,3,0,1,0,14,6586,1077.0,2.0,19968,4.0,12,4
11639,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
11671,4,63,7,1,3,0,1,0,14,10349,830.0,1.5,17051,4.0,12,4
11696,19,26,0,1,3,0,0,0,12,26971,2067.0,4.0,0,8.0,12,4
11718,7,71,7,1,3,0,1,0,7,3763,879.0,1.6,47736,4.0,12,4
11728,30,30,7,1,1,0,1,0,1,9722,609.0,2.5,127515,4.0,12,5
11735,10,163,3,1,0,0,1,0,14,44875,930.0,1.7,87862,4.0,4,5
11769,4,93,7,1,3,0,1,0,12,3450,1869.0,3.6,18438,6.0,12,4
11777,7,68,7,1,3,0,1,0,1,10506,2562.0,5.0,7224,8.0,12,4
11795,30,23,0,1,3,0,1,0,14,6586,1077.0,2.0,5219,4.0,12,4
11836,30,30,7,0,1,2,1,0,3,72758,0.0,2.5,27000,4.0,12,5
11839,30,23,3,1,3,0,1,0,1,282,1077.0,2.0,3237,4.0,12,4
11868,22,17,3,1,3,0,1,0,12,706,1325.0,2.5,30555,4.0,12,4
11875,18,29,3,1,3,0,1,0,14,627,1325.0,2.5,14186,4.0,12,4
11881,4,108,7,1,3,0,1,0,7,3607,831.0,1.5,64600,4.0,12,5
11891,22,129,3,1,3,0,0,0,11,25000,0.0,2.0,35447,4.0,12,5
11916,10,149,7,1,3,0,1,0,14,6743,1277.0,2.4,57555,4.0,12,5
11917,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
11920,10,149,7,1,3,0,1,0,14,61781,1076.0,2.0,98,4.0,4,3
11922,21,120,3,0,3,2,0,0,11,39201,1079.0,2.0,13000,4.0,12,5
11964,30,30,7,1,1,0,1,0,14,18817,609.0,2.5,35058,4.0,12,5
12005,9,75,5,1,1,0,1,1,11,24000,2265.0,1.5,1544,4.0,2,4
12030,12,40,7,1,3,0,1,0,12,627,1275.0,2.4,24805,4.0,12,4
12036,30,126,7,1,1,0,0,0,14,1254,462.0,1.8,7518,4.0,12,4
12038,30,30,7,1,1,0,1,0,1,470,605.0,2.5,3541,4.0,12,3
12083,30,23,3,1,3,0,1,0,1,314,1077.0,2.0,47253,4.0,12,4
12084,30,30,7,1,1,0,1,0,1,251,607.0,2.5,39552,4.0,12,4
12091,21,120,3,0,3,0,1,0,2,31988,1079.0,2.0,14000,4.0,10,5
12092,10,163,3,1,0,0,1,0,2,60994,1077.0,2.0,1217,4.0,4,4
12101,30,105,3,1,0,2,0,0,2,121681,0.0,3.0,92000,6.0,12,5
12159,30,23,3,1,3,0,1,0,7,2587,1079.0,2.0,16213,4.0,12,5
12163,9,41,2,1,3,0,1,0,1,66150,831.0,1.5,17223,4.0,4,5
12168,10,61,7,1,3,0,1,0,12,4077,1079.0,2.0,46686,4.0,12,5
12169,10,143,3,1,0,0,1,0,3,62653,1077.0,2.0,7865,4.0,4,4
12179,10,61,7,1,3,0,1,0,14,5645,1079.0,2.0,31470,4.0,12,5
12242,19,22,7,1,3,2,2,0,14,78403,0.0,2.0,10000,4.0,12,5
12250,9,146,2,0,1,0,0,0,12,18000,399.0,1.5,9000,4.0,6,4
12283,30,147,5,1,3,0,1,1,1,18000,2266.0,1.5,15000,4.0,2,5
12300,19,83,3,1,3,0,0,0,14,29793,1823.0,3.5,9765,6.0,12,5
12303,10,143,5,1,0,0,1,0,14,106668,1176.0,2.2,14480,4.0,4,4
12306,10,61,7,1,3,0,1,0,14,27924,880.0,1.6,53000,4.0,4,5
12327,10,143,3,1,0,0,1,0,14,68148,1077.0,2.0,31327,4.0,4,4
12381,21,59,3,0,3,0,0,0,12,27441,831.0,1.5,17123,4.0,8,5
12388,10,143,3,1,0,0,1,0,7,61286,1079.0,2.0,69000,4.0,4,5
